1262	1157	1068	951	879	809	733	702	736	767	726	640	638	642	574	486	482	464	472	476	417	457	475
1409	1327	1184	1093	957	935	850	812	816	845	786	785	707	679	649	562	526	466	450	480	487	513	541
1393	1421	1359	1294	1146	929	950	889	834	923	952	791	780	762	672	671	625	495	516	482	488	558	542
1503	1358	1495	1487	1279	1182	955	1054	940	984	979	953	813	900	813	717	736	624	543	549	518	509	623
1527	1486	1522	1595	1567	1286	1298	1079	1138	1040	1014	954	987	973	872	873	749	705	670	553	536	579	604
1585	1534	1491	1616	1601	1547	1246	1282	1124	1187	1171	1076	1049	1023	1012	908	879	799	827	691	673	587	651
1707	1642	1716	1624	1616	1704	1611	1349	1346	1185	1263	1164	1167	1091	1078	973	981	933	897	837	735	640	689
1600	1733	1694	1713	1742	1673	1781	1707	1438	1504	1287	1287	1224	1191	1135	1193	1058	1031	1047	981	897	852	734
1630	1582	1813	1824	1811	1765	1658	1693	1807	1521	1502	1335	1371	1288	1209	1194	1237	1160	1093	1038	1010	969	899
1739	1651	1610	1829	1843	1739	1756	1780	1899	1854	1727	1591	1372	1463	1355	1257	1219	1226	1233	1209	1133	1087	1087
1574	1656	1751	1686	1899	1867	1816	1871	1794	2015	2016	1782	1738	1463	1483	1524	1292	1297	1383	1263	1260	1227	1181
1810	1608	1742	1718	1757	1932	1917	1873	1885	1986	2038	2126	1783	1694	1525	1568	1584	1412	1413	1482	1360	1300	1307
1869	1765	1604	1886	1843	1753	1949	1890	1932	2041	1973	2169	2214	1909	1904	1507	1545	1594	1448	1458	1462	1398	1462
2010	1883	1858	1685	1922	1821	1784	1990	1910	2103	2123	2118	2160	2260	2051	2000	1659	1631	1650	1606	1587	1539	1548
2115	2024	1900	1941	1692	1912	1850	1755	2072	2103	2129	2164	2195	2293	2220	1968	1961	1672	1805	1727	1599	1587	1775
1690	2039	1973	2021	1989	1695	1968	1889	1903	2251	2221	2274	2243	2199	2395	2338	1979	1987	1811	1823	1720	1631	1799
1934	1623	2033	2024	2078	1962	1785	1974	1980	2000	2314	2164	2277	2244	2314	2368	2437	2116	2113	1773	1922	1936	1990
2086	1977	1692	2103	2182	2046	1996	1761	2047	1948	1948	2354	2344	2359	2356	2302	2385	2553	2251	2220	1958	1970	2036
2791	2033	1968	1757	2226	2174	2093	1979	1852	2028	2155	2095	2407	2337	2300	2379	2464	2584	2637	2322	2326	1946	2226
3005	2796	2209	2007	1874	2140	2183	2171	2108	1770	2256	2202	2058	2589	2473	2459	2438	2577	2731	2788	2423	2425	2223
2681	3085	3024	2140	2059	1777	2217	2316	2187	2153	1973	2268	2279	2184	2585	2502	2528	2529	2615	2839	2814	2517	2611
2959	2691	3143	2858	2229	2149	1797	2282	2321	2258	2300	1953	2329	2296	2229	2606	2661	2555	2692	2655	2927	2982	2905
3144	3026	2834	3187	2923	2196	2138	1833	2397	2404	2458	2332	2048	2412	2346	2354	2760	2648	2650	2725	2820	3082	3324
3044	3139	3040	3016	3372	3093	2319	2237	1905	2485	2436	2513	2409	2151	2412	2408	2401	2815	2800	2877	2834	3028	3470
3182	3109	3157	3000	2973	3324	2956	2310	2281	2053	2600	2568	2544	2501	2170	2544	2479	2480	3071	2973	2982	3113	3530
3319	3343	3242	3232	3274	3081	3339	3131	2400	2412	2095	2660	2676	2473	2453	2327	2691	2561	2659	2989	2971	3223	3388
3410	3497	3389	3254	3322	3291	3116	3428	3116	2494	2507	2041	2779	2616	2685	2657	2263	2630	2742	2629	3225	3305	3579
3272	3340	3436	3474	3425	3500	3355	3228	3632	3303	2579	2493	2205	2849	2830	2758	2766	2463	2870	2898	2844	3650	3718
3005	3245	3455	3477	3723	3426	3616	3536	3313	3631	3453	2729	2671	2293	2966	2961	2913	2840	2669	2958	3109	3163	3974
3118	3195	3374	3653	3736	3657	3583	3648	3519	3473	3902	3626	2789	2821	2363	3129	3161	2986	3065	2726	3163	3330	3544
2893	3126	3226	3537	3687	3816	3834	3695	3799	3534	3482	4016	3814	2917	2870	2598	3242	3253	3222	3206	2899	3468	3907
3113	3035	3289	3396	3563	3903	3896	3847	3751	3880	3846	3796	4421	4000	3100	2938	2718	3345	3487	3360	3428	3110	4133
