385607	402297	421844	436603	428491	401109	372609	343727	335755	326684	323495	334400	345888	350559	380739	388704	382613	379094	379670	365421	355002	335675	336600
383214	385116	399979	422660	434823	426321	401810	371393	341761	336016	325142	325512	335914	346418	351585	383119	390322	384301	384333	383935	368160	355082	336167
398740	381920	382838	399092	420562	430616	425265	399950	369424	341112	335335	328174	327076	336949	349757	353578	385339	392496	389699	389029	386791	367500	354813
422919	398139	381357	384513	397895	418899	431406	426341	401169	370323	341411	340731	331275	328655	341169	354584	357115	388534	398233	394810	391142	385405	366711
439488	423464	398310	384451	385523	396379	422541	434042	430803	403675	372205	346894	344797	334361	334196	346064	357623	359246	393404	402566	395546	389364	384572
452303	441283	423123	400281	385409	384535	398219	425454	436754	432478	405377	376406	347833	347424	338966	336759	347403	358805	363247	396948	402637	393668	388930
461205	453750	441839	424241	399993	384133	386586	399160	428012	436995	433524	408697	376378	348217	350547	340798	336666	348152	362123	365645	396026	400182	393491
456243	462404	454172	443444	423309	397751	385834	388210	399977	428131	437237	436769	408592	376063	349619	352198	340421	337028	351026	364300	364572	393755	400022
449262	458715	462605	455542	443628	420797	398487	387097	389517	398472	429097	439387	436587	408282	376565	349674	351560	340908	339712	352725	362321	361989	393474
441632	450815	460436	463637	455645	442127	421233	399111	388195	388799	398118	431862	439201	436332	409286	376473	348951	351620	343275	340915	350580	359665	361628
431922	444889	451595	462516	463309	453649	443619	421506	399430	387548	388767	399383	431741	438650	437893	409977	375728	348804	354099	343981	338977	347863	359018
426010	432352	447777	453071	463529	461006	454931	445066	421532	397948	387418	390263	397943	431551	439598	438708	408943	375550	350774	354371	341899	336136	347385
428087	426297	432588	450939	453182	462563	462346	456308	446589	419447	397127	388586	389513	396227	433393	440260	437578	408283	376974	351245	351935	339454	335274
424478	428907	426156	433047	452830	451378	465669	463151	457562	445738	418260	397415	388025	388681	396752	434768	438910	436892	409386	376621	348975	349561	338641
433198	425460	429296	426420	432457	452964	453017	468044	464232	456266	445555	417917	395836	386998	389687	396511	433450	437851	438046	410041	373949	346906	348676
438902	431211	426395	429699	425590	430010	455962	454062	470583	462792	455802	446728	416031	394343	388176	390427	395380	432505	438641	438196	407271	372008	345840
